BACE1-AS	BACE1	NM_001207049
BCYRN1 	ARC	NM_015193
BCYRN1 	MAP1B	NM_005909
BDNF-AS	BDNF	NM_001143805
EMX2OS	EMX2	NM_001165924
H19	TNNT3	NM_001042780
H19	TXN	NM_003329
HIF1A-AS1	HIF1A	NM_001243084
HIF1A-AS2	HIF1A	NM_001243084
LINC00570	CMPK1	NM_001136140
MESTIT1	MEST	NM_001253900
NEAT1	SERPINE1	NM_000602
PCAT1	EZH2	NM_001203247
PVT1	SERPINE1	NM_000602
MALAT1	ABHD16B	NM_080622.3
NEAT1	ABHD16B	NM_080622.3
NEAT1	ACPT	NM_033068.2
NEAT1	ACTB	NM_001101.3
NEAT1	ADARB2	NM_018702.3
MALAT1	ADHFE1	NM_144650.2
NEAT1	ADHFE1	NM_144650.2
NEAT1	AIRE	NM_000383.3
CELF2-AS2	ALKBH5	NM_017758.3
DLEU2	ALKBH5	NM_017758.3
ENTPD1-AS1	ALKBH5	NM_017758.3
GAS5	ALKBH5	NM_017758.3
HOTAIR	ALKBH5	NM_017758.3
LINC00324	ALKBH5	NM_017758.3
LINC00639	ALKBH5	NM_017758.3
LINC00989	ALKBH5	NM_017758.3
MALAT1	ALKBH5	NM_017758.3
MIR22HG	ALKBH5	NM_017758.3
PRC1-AS1	ALKBH5	NM_017758.3
PVT1	ALKBH5	NM_017758.3
SOX2-OT	ALKBH5	NM_017758.3
ZNF518A	ALKBH5	NM_017758.3
MALAT1	ANKDD1A	NM_182703.5
NEAT1	ANKDD1A	NM_182703.5
MALAT1	ANKHD1-EIF4EBP3	NM_020690.5
NEAT1	ANKRD23	NM_144994.7
NEAT1	ANKRD39	NM_016466.5
MALAT1	ANP32B	NM_006401.2
MALAT1	AP1S1	NM_001283.3
NEAT1	AP1S1	NM_001283.3
NEAT1	ARL16	NM_001040025.1
UCA1	ARNT2	NM_014862.3
NEAT1	ARPC4-TTLL3	NM_001198793.1
NEAT1	ASNA1	NM_004317.2
NEAT1	ATP4A	NM_000704.2
NEAT1	ATP5E	NM_006886.3
NEAT1	B4GALT5	NM_004776.3
MALAT1	BBS1	NM_024649.4
MALAT1	BCAS2	NM_005872.2
NEAT1	BGLAP	NM_199173.5
NEAT1	BHLHE23	NM_080606.3
MALAT1	BLVRB	NM_000713.2
NEAT1	BLVRB	NM_000713.2
HOTAIR	BMI1	NM_005180.8
NEAT1	BOP1	NM_015201.4
MALAT1	BPI	NM_001725.2
MALAT1	BUB1B	NM_001211.5
MALAT1	CABLES2	NM_031215.2
NEAT1	CABLES2	NM_031215.2
NEAT1	CACNG1	NM_000727.3
MALAT1	CACNG4	NM_014405.3
NEAT1	CACNG4	NM_014405.3
MALAT1	CACNG8	NM_031895.5
NEAT1	CALM3	NM_005184.2
MALAT1	CALR	NM_004343.3
MEG3	CAMP	NM_004345.4
NEAT1	CBX8	NM_020649.2
NEAT1	CCDC85B	NM_006848.2
NEAT1	CCDC89	NM_152723.2
SOX2-OT	CCNB1	NM_031966.3
NEAT1	CCND1	NM_053056.2
NEAT1	CDC20	NM_001255.2
NEAT1	CDC42EP5	NM_145057.3
NEAT1	CDH15	NM_004933.2
NEAT1	CDK3	NM_001258.2
NEAT1	CDK4	NM_000075.3
MALAT1	CDT1	NM_030928.3
NEAT1	CDT1	NM_030928.3
NEAT1	CEMP1	NM_001048212.3
MALAT1	CENPB	NM_001810.5
NEAT1	CENPB	NM_001810.5
MALAT1	CENPBD1	NM_145039.3
MALAT1	CFB	NM_001710.5
MALAT1	CFL1	NM_005507.2
NEAT1	CFL1	NM_005507.2
NEAT1	CHERP	NM_006387.5
MALAT1	CHMP4A	NM_014169.3
NEAT1	CHMP4A	NM_014169.3
NEAT1	CHRM4	NM_000741.3
NEAT1	CIAO1	NM_004804.2
NEAT1	CILP2	NM_153221.2
NEAT1	CISD3	NM_001136498.1
NEAT1	CLDN3	NM_001306.3
NEAT1	CLDN4	NM_001305.4
NEAT1	CLDN6	NM_021195.4
NEAT1	CLN6	NM_017882.2
NEAT1	CNPY4	NM_152755.1
NEAT1	COG8	NM_032382.4
NEAT1	COIL	NM_004645.2
MALAT1	COL4A2	NM_001846.2
MALAT1	COL6A1	NM_001848.2
NEAT1	COL6A1	NM_001848.2
MALAT1	COPS6	NM_006833.4
NEAT1	COPS6	NM_006833.4
MALAT1	COX19	NM_001031617.2
MALAT1	COX5B	NM_001862.2
MALAT1	COX6B2	NM_144613.4
NEAT1	COX6B2	NM_144613.4
NEAT1	COX7A1	NM_001864.3
NEAT1	CPLX3	NM_001030005.2
NEAT1	CREB3	NM_006368.4
NEAT1	CRIP1	NM_001311.4
NEAT1	CSPG4	NM_001897.4
NEAT1	CSTB	NM_000100.3
ALKBH3-AS1	CSTF2T	NM_015235.2
AP4B1-AS1	CSTF2T	NM_015235.2
BAZ2B	CSTF2T	NM_015235.2
CACNA2D3-AS1	CSTF2T	NM_015235.2
CASC9	CSTF2T	NM_015235.2
CFLAR-AS1	CSTF2T	NM_015235.2
COX10-AS1	CSTF2T	NM_015235.2
CRNDE	CSTF2T	NM_015235.2
DANCR	CSTF2T	NM_015235.2
DHRS4-AS1	CSTF2T	NM_015235.2
DLEU2	CSTF2T	NM_015235.2
DSCR9	CSTF2T	NM_015235.2
ENTPD1-AS1	CSTF2T	NM_015235.2
EPB41L4A-AS1	CSTF2T	NM_015235.2
ERVK3-1	CSTF2T	NM_015235.2
FGD5-AS1	CSTF2T	NM_015235.2
FLG-AS1	CSTF2T	NM_015235.2
FOXP1-AS1	CSTF2T	NM_015235.2
GABPB1-AS1	CSTF2T	NM_015235.2
GAS5	CSTF2T	NM_015235.2
GHRLOS	CSTF2T	NM_015235.2
GNG12-AS1	CSTF2T	NM_015235.2
HOTAIRM1	CSTF2T	NM_015235.2
HOXA-AS2	CSTF2T	NM_015235.2
HOXA-AS3	CSTF2T	NM_015235.2
HOXB-AS1	CSTF2T	NM_015235.2
HOXD-AS2	CSTF2T	NM_015235.2
IPO9-AS1	CSTF2T	NM_015235.2
JPX	CSTF2T	NM_015235.2
LIMD1-AS1	CSTF2T	NM_015235.2
LINC00159	CSTF2T	NM_015235.2
LINC00519	CSTF2T	NM_015235.2
LINC00630	CSTF2T	NM_015235.2
LINC00641	CSTF2T	NM_015235.2
LINC00662	CSTF2T	NM_015235.2
LINC00665	CSTF2T	NM_015235.2
LINC00894	CSTF2T	NM_015235.2
LINC00958	CSTF2T	NM_015235.2
MAGI2-AS3	CSTF2T	NM_015235.2
MALAT1	CSTF2T	NM_015235.2
MAPKAPK5-AS1	CSTF2T	NM_015235.2
MCM3AP-AS1	CSTF2T	NM_015235.2
MIR155HG	CSTF2T	NM_015235.2
MIR17HG	CSTF2T	NM_015235.2
MIR181A1HG	CSTF2T	NM_015235.2
MIR181A2HG	CSTF2T	NM_015235.2
MIR31HG	CSTF2T	NM_015235.2
MIRLET7DHG	CSTF2T	NM_015235.2
NEAT1	CSTF2T	NM_015235.2
NKAPP1	CSTF2T	NM_015235.2
NR2F1-AS1	CSTF2T	NM_015235.2
OIP5-AS1	CSTF2T	NM_015235.2
PAXBP1-AS1	CSTF2T	NM_015235.2
PRC1-AS1	CSTF2T	NM_015235.2
PSMG3-AS1	CSTF2T	NM_015235.2
PTPRG-AS1	CSTF2T	NM_015235.2
