NR_037803-BACE1-AS,NM_001207049-BACE1
NR_002832-BDNF-AS,NM_001143805-BDNF
NR_033312-BDNF-AS,NM_001143805-BDNF
NR_033313-BDNF-AS,NM_001143805-BDNF
NR_033314-BDNF-AS,NM_001143805-BDNF
NR_033315-BDNF-AS,NM_001143805-BDNF
NR_002791-EMX2OS,NM_001165924-EMX2
NR_144378-EMX2OS,NM_001165924-EMX2
NR_002196-H19,NM_001042780-TNNT3
NR_131223-H19,NM_001042780-TNNT3
NR_131224-H19,NM_001042780-TNNT3
NR_002196-H19,NM_003329-TXN
NR_131223-H19,NM_003329-TXN
NR_131224-H19,NM_003329-TXN
NR_047116-HIF1A-AS1,NM_001243084-HIF1A
NR_045406-HIF1A-AS2,NM_001243084-HIF1A
NR_047499-LINC00570,NM_001136140-CMPK1
NR_004382-MESTIT1,NM_001253900-MEST
NR_028272-NEAT1,NM_000602-SERPINE1
NR_131012-NEAT1,NM_000602-SERPINE1
NR_045262-PCAT1,NM_001203247-EZH2
NR_003367-PVT1,NM_000602-SERPINE1
NR_002819-MALAT1,NM_080622.3-ABHD16B
NR_144567-MALAT1,NM_080622.3-ABHD16B
NR_144568-MALAT1,NM_080622.3-ABHD16B
NR_028272-NEAT1,NM_080622.3-ABHD16B
NR_131012-NEAT1,NM_080622.3-ABHD16B
NR_028272-NEAT1,NM_033068.2-ACPT
NR_131012-NEAT1,NM_033068.2-ACPT
NR_028272-NEAT1,NM_001101.3-ACTB
NR_131012-NEAT1,NM_001101.3-ACTB
NR_028272-NEAT1,NM_018702.3-ADARB2
NR_131012-NEAT1,NM_018702.3-ADARB2
NR_002819-MALAT1,NM_144650.2-ADHFE1
NR_144567-MALAT1,NM_144650.2-ADHFE1
NR_144568-MALAT1,NM_144650.2-ADHFE1
NR_028272-NEAT1,NM_144650.2-ADHFE1
NR_131012-NEAT1,NM_144650.2-ADHFE1
NR_028272-NEAT1,NM_000383.3-AIRE
NR_131012-NEAT1,NM_000383.3-AIRE
NR_046108-CELF2-AS2,NM_017758.3-ALKBH5
NR_152566-DLEU2,NM_017758.3-ALKBH5
NR_152567-DLEU2,NM_017758.3-ALKBH5
NR_152568-DLEU2,NM_017758.3-ALKBH5
NR_152569-DLEU2,NM_017758.3-ALKBH5
NR_152570-DLEU2,NM_017758.3-ALKBH5
NR_152571-DLEU2,NM_017758.3-ALKBH5
NR_152572-DLEU2,NM_017758.3-ALKBH5
NR_038444-ENTPD1-AS1,NM_017758.3-ALKBH5
NR_134320-ENTPD1-AS1,NM_017758.3-ALKBH5
NR_134321-ENTPD1-AS1,NM_017758.3-ALKBH5
NR_134322-ENTPD1-AS1,NM_017758.3-ALKBH5
NR_002578-GAS5,NM_017758.3-ALKBH5
NR_152521-GAS5,NM_017758.3-ALKBH5
NR_152522-GAS5,NM_017758.3-ALKBH5
NR_152523-GAS5,NM_017758.3-ALKBH5
NR_152524-GAS5,NM_017758.3-ALKBH5
NR_152525-GAS5,NM_017758.3-ALKBH5
NR_152526-GAS5,NM_017758.3-ALKBH5
NR_152527-GAS5,NM_017758.3-ALKBH5
NR_152528-GAS5,NM_017758.3-ALKBH5
NR_152529-GAS5,NM_017758.3-ALKBH5
NR_152530-GAS5,NM_017758.3-ALKBH5
NR_152531-GAS5,NM_017758.3-ALKBH5
NR_152532-GAS5,NM_017758.3-ALKBH5
NR_152533-GAS5,NM_017758.3-ALKBH5
NR_152534-GAS5,NM_017758.3-ALKBH5
NR_003716-HOTAIR,NM_017758.3-ALKBH5
NR_047517-HOTAIR,NM_017758.3-ALKBH5
NR_047518-HOTAIR,NM_017758.3-ALKBH5
NR_026951-LINC00324,NM_017758.3-ALKBH5
NR_039982-LINC00639,NM_017758.3-ALKBH5
NR_038826-LINC00989,NM_017758.3-ALKBH5
NR_002819-MALAT1,NM_017758.3-ALKBH5
NR_144567-MALAT1,NM_017758.3-ALKBH5
NR_144568-MALAT1,NM_017758.3-ALKBH5
NR_028502-MIR22HG,NM_017758.3-ALKBH5
NR_028503-MIR22HG,NM_017758.3-ALKBH5
NR_028504-MIR22HG,NM_017758.3-ALKBH5
NR_028505-MIR22HG,NM_017758.3-ALKBH5
NR_051984-PRC1-AS1,NM_017758.3-ALKBH5
NR_003367-PVT1,NM_017758.3-ALKBH5
NR_004053-SOX2-OT,NM_017758.3-ALKBH5
NR_075089-SOX2-OT,NM_017758.3-ALKBH5
NR_075090-SOX2-OT,NM_017758.3-ALKBH5
NR_075091-SOX2-OT,NM_017758.3-ALKBH5
NR_075092-SOX2-OT,NM_017758.3-ALKBH5
NR_075093-SOX2-OT,NM_017758.3-ALKBH5
NR_138482-ZNF518A,NM_017758.3-ALKBH5
NR_002819-MALAT1,NM_182703.5-ANKDD1A
NR_144567-MALAT1,NM_182703.5-ANKDD1A
NR_144568-MALAT1,NM_182703.5-ANKDD1A
NR_028272-NEAT1,NM_182703.5-ANKDD1A
NR_131012-NEAT1,NM_182703.5-ANKDD1A
NR_002819-MALAT1,NM_020690.5-ANKHD1-EIF4EBP3
NR_144567-MALAT1,NM_020690.5-ANKHD1-EIF4EBP3
NR_144568-MALAT1,NM_020690.5-ANKHD1-EIF4EBP3
NR_028272-NEAT1,NM_144994.7-ANKRD23
NR_131012-NEAT1,NM_144994.7-ANKRD23
NR_028272-NEAT1,NM_016466.5-ANKRD39
NR_131012-NEAT1,NM_016466.5-ANKRD39
NR_002819-MALAT1,NM_006401.2-ANP32B
NR_144567-MALAT1,NM_006401.2-ANP32B
NR_144568-MALAT1,NM_006401.2-ANP32B
NR_002819-MALAT1,NM_001283.3-AP1S1
NR_144567-MALAT1,NM_001283.3-AP1S1
NR_144568-MALAT1,NM_001283.3-AP1S1
NR_028272-NEAT1,NM_001283.3-AP1S1
NR_131012-NEAT1,NM_001283.3-AP1S1
NR_028272-NEAT1,NM_001040025.1-ARL16
NR_131012-NEAT1,NM_001040025.1-ARL16
NR_015379-UCA1,NM_014862.3-ARNT2
NR_028272-NEAT1,NM_001198793.1-ARPC4-TTLL3
NR_131012-NEAT1,NM_001198793.1-ARPC4-TTLL3
NR_028272-NEAT1,NM_004317.2-ASNA1
NR_131012-NEAT1,NM_004317.2-ASNA1
NR_028272-NEAT1,NM_000704.2-ATP4A
NR_131012-NEAT1,NM_000704.2-ATP4A
NR_028272-NEAT1,NM_006886.3-ATP5E
NR_131012-NEAT1,NM_006886.3-ATP5E
NR_028272-NEAT1,NM_004776.3-B4GALT5
NR_131012-NEAT1,NM_004776.3-B4GALT5
NR_002819-MALAT1,NM_024649.4-BBS1
NR_144567-MALAT1,NM_024649.4-BBS1
NR_144568-MALAT1,NM_024649.4-BBS1
NR_002819-MALAT1,NM_005872.2-BCAS2
NR_144567-MALAT1,NM_005872.2-BCAS2
NR_144568-MALAT1,NM_005872.2-BCAS2
NR_028272-NEAT1,NM_199173.5-BGLAP
NR_131012-NEAT1,NM_199173.5-BGLAP
NR_028272-NEAT1,NM_080606.3-BHLHE23
NR_131012-NEAT1,NM_080606.3-BHLHE23
NR_002819-MALAT1,NM_000713.2-BLVRB
NR_144567-MALAT1,NM_000713.2-BLVRB
NR_144568-MALAT1,NM_000713.2-BLVRB
NR_028272-NEAT1,NM_000713.2-BLVRB
NR_131012-NEAT1,NM_000713.2-BLVRB
NR_003716-HOTAIR,NM_005180.8-BMI1
NR_047517-HOTAIR,NM_005180.8-BMI1
NR_047518-HOTAIR,NM_005180.8-BMI1
NR_028272-NEAT1,NM_015201.4-BOP1
NR_131012-NEAT1,NM_015201.4-BOP1
NR_002819-MALAT1,NM_001725.2-BPI
NR_144567-MALAT1,NM_001725.2-BPI
NR_144568-MALAT1,NM_001725.2-BPI
NR_002819-MALAT1,NM_001211.5-BUB1B
NR_144567-MALAT1,NM_001211.5-BUB1B
NR_144568-MALAT1,NM_001211.5-BUB1B
NR_002819-MALAT1,NM_031215.2-CABLES2
