lncrna-length,mrna-length,lncrna-GC%,mrna-GC%,lncrna-rel_acc_len_ratio,mrna-rel_acc_len_ratio,hybrid_energy(kcal/mol),lncrna_rel_GC_ratio,Target
424,12317,0.356132075,0.5545993339999999,0.20990566,0.158561338,-37.9,0.200717357,0
8302,874,0.408335341,0.6075514870000001,0.186942905,0.07437070900000001,-46.8,0.286881868,1
3442,509,0.369843114,0.493123772,0.17315514199999998,0.341846758,-52.1,0.390243613,0
22743,3122,0.440531152,0.47565663,0.187662138,0.167200512,-294.6,0.350796357,1
5822,2154,0.588801099,0.409935005,0.126417039,0.167595172,-123.4,0.4639774370000001,0
2587,1752,0.437959026,0.572488584,0.189022033,0.212899543,-85.5,0.35232705700000005,1
10068,2723,0.517977751,0.512669849,0.155145014,0.275431509,-256.0,0.397416725,0
362,2708,0.458563536,0.454209749,0.212707182,0.177991137,-11.4,0.05952381,0
2362,4127,0.6303979679999999,0.431790647,0.16426757,0.21541071,-169.5,0.497022199,0
8302,1579,0.408335341,0.506016466,0.186942905,0.219126029,-145.6,0.315280341,1
22743,1523,0.440531152,0.640840446,0.187662138,0.133946159,-163.5,0.406770639,1
8545,5710,0.40514921,0.523992995,0.18502048,0.14045534199999998,-329.7,0.293677783,1
1735,12019,0.614409222,0.447874199,0.195389049,0.213245694,-142.1,0.492181517,0
1628,3979,0.57985258,0.361648655,0.114250614,0.255591857,-100.7,0.48696784,0
9027,7805,0.387504154,0.574887892,0.184003545,0.133376041,-304.0,0.326594981,0
3992,4407,0.533567134,0.371454504,0.230711423,0.200136147,-162.5,0.379732665,1
200,772,0.53,0.663212435,0.455,0.101036269,-10.6,0.377777778,0
680,4605,0.438235294,0.452334419,0.201470588,0.176764387,-56.2,0.30942542300000003,1
10194,3288,0.518246027,0.5261557179999999,0.15636649,0.175486618,-294.8,0.389020591,0
615,2722,0.458536585,0.611682586,0.138211382,0.132990448,-40.6,0.398368607,1
684,1752,0.442982456,0.572488584,0.14619883,0.212899543,-30.8,0.384637188,1
8302,1260,0.408335341,0.58015873,0.186942905,0.130952381,-84.1,0.364272382,1
368,4840,0.54076087,0.34214876,0.095108696,0.251446281,-18.7,0.207070707,0
4572,12317,0.454286964,0.5545993339999999,0.158573928,0.158561338,-296.8,0.329716444,0
4320,4447,0.557175926,0.403418035,0.136805556,0.22554531100000005,-199.9,0.402328386,0
